Book,Chapter,Section,Text,Title
6,47,2,"[2]
       
τὰ δὲ μέταλλα τὰ Φοινικικὰ ταῦτα ἐστὶ τῆς Θάσου μεταξὺ Αἰνύρων τε χώρου καλεομένου καὶ Κοινύρων, ἀντίον δὲ Σαμοθρηίκης, ὄρος μέγα ἀνεστραμμένον ἐν τῇ ζητήσι. τοῦτο μέν νυν ἐστὶ τοιοῦτον. οἱ δὲ Θάσιοι τῷ βασιλέι κελεύσαντι καὶ τὸ τεῖχος τὸ σφέτερον κατεῖλον καὶ τὰς νέας τὰς πάσας ἐκόμισαν ἐς Ἄβδηρα.",6.47.2
6,44,3,"[3]
       
λέγεται γὰρ τριηκοσίας μὲν τῶν νεῶν τὰς διαφθαρείσας εἶναι, ὑπὲρ δὲ δύο μυριάδας ἀνθρώπων. ὥστε γὰρ θηριωδεστάτης ἐούσης τῆς θαλάσσης ταύτης τῆς περὶ τὸν Ἄθων, οἳ μὲν ὑπὸ τῶν θηρίων διεφθείροντο ἁρπαζόμενοι, οἳ δὲ πρὸς τὰς πέτρας ἀρασσόμενοι: οἳ δὲ αὐτῶν νέειν οὐκ ἐπιστέατο καὶ κατὰ τοῦτο διεφθείροντο, οἳ δὲ ῥίγεϊ.",6.44.3
8,8,3,"[3]
       
λέγεται μέν νυν καὶ ἄλλα ψευδέσι εἴκελα περὶ τοῦ ἀνδρὸς τούτου, τὰ δὲ μετεξέτερα ἀληθέα: περὶ μέντοι τούτου γνώμη μοι ἀποδεδέχθω πλοίῳ μιν ἀπικέσθαι ἐπὶ τὸ Ἀρτεμίσιον. ὡς δὲ ἀπίκετο, αὐτίκα ἐσήμηνε τοῖσι στρατηγοῖσι τήν τε ναυηγίην ὡς γένοιτο, καὶ τὰς περιπεμφθείσας τῶν νεῶν περὶ Εὔβοιαν.",8.8.3
9,48,3,"‘
      [3]
       
ταῦτα οὐδαμῶς ἀνδρῶν ἀγαθῶν ἔργα, ἀλλὰ πλεῖστον δὴ ἐν ὑμῖν ἐψεύσθημεν. προσδεκόμενοι γὰρ κατὰ κλέος ὡς δὴ πέμψετε ἐς ἡμέας κήρυκα προκαλεύμενοι καὶ βουλόμενοι μούνοισι Πέρσῃσι μάχεσθαι, ἄρτιοι ἐόντες ποιέειν ταῦτα οὐδὲν τοιοῦτο λέγοντας ὑμέας εὕρομεν ἀλλὰ πτώσσοντας μᾶλλον. νῦν ὦν ἐπειδὴ οὐκ ὑμεῖς ἤρξατε τούτου τοῦ λόγου, ἀλλ᾽ ἡμεῖς ἄρχομεν.
’",9.48.3
6,70,2,"[2]
       
καί κως ἔφθη ἐς Ζάκυνθον διαβὰς ὁ Δημάρητος ἐκ τῆς Ἤλιδος: ἐπιδιαβάντες δὲ οἱ Λακεδαιμόνιοι αὐτοῦ τε ἅπτοντο καὶ τοὺς θεράποντας αὐτοῦ ἀπαιρέονται. μετὰ δέ, οὐ γὰρ ἐξεδίδοσαν αὐτὸν οἱ Ζακύνθιοι, ἐνθεῦτεν διαβαίνει ἐς τὴν Ἀσίην παρὰ βασιλέα Δαρεῖον. ὁ δὲ ὑπεδέξατό τε αὐτὸν μεγαλωστὶ καὶ γῆν τε καὶ πόλιας ἔδωκε.",6.70.2
2,136,3,"[3]
       
ὑπερβαλέσθαι δὲ βουλόμενον τοῦτον τὸν βασιλέα τοὺς πρότερον ἑωυτοῦ βασιλέας γενομένους Αἰγύπτου μνημόσυνον πυραμίδα λιπέσθαι ἐκ πλίνθων ποιήσαντα, ἐν τῇ γράμματα ἐν λίθῳ ἐγκεκολαμμένα τάδε λέγοντα ἐστί.",2.136.3
8,101,2,"[2]
       
ὡς δὲ ἀπίκετο ἡ Ἀρτεμισίη, μεταστησάμενος τοὺς ἄλλους τούς τε συμβούλους Περσέων καὶ τοὺς δορυφόρους, ἔλεξε Ξέρξης τάδε. ‘κελεύει με Μαρδόνιος μένοντα αὐτοῦ πειρᾶσαι τῆς Πελοποννήσου, λέγων ὥς μοι Πέρσαι τε καὶ ὁ πεζὸς στρατὸς οὐδενὸς μεταίτιοι πάθεος εἰσί, ἀλλὰ βουλομένοισί σφι γένοιτ᾽ ἂν ἀπόδεξις.
’",8.101.2
1,119,4,"[4]
       
ἐπείτε δὲ τῆς ὥρης γινομένης τοῦ δείπνου παρῆσαν οἵ τε ἄλλοι δαιτυμόνες καὶ ὁ Ἅρπαγος, τοῖσι μὲν ἄλλοισι καὶ αὐτῷ Ἀστυάγεϊ παρετιθέατο τράπεζαι ἐπίπλεαι μηλέων κρεῶν, Ἁρπάγῳ δὲ τοῦ παιδὸς τοῦ ἑωυτοῦ, πλὴν κεφαλῆς τε καὶ ἄκρων χειρῶν τε καὶ ποδῶν, τἄλλα πάντα: ταῦτα δὲ χωρὶς ἔκειτο ἐπὶ κανέῳ κατακεκαλυμμένα,",1.119.4
7,238,2,"[2]
       
δῆλά μοι πολλοῖσι μὲν καὶ ἄλλοισι τεκμηρίοισι, ἐν δὲ καὶ τῷδε οὐκ ἥκιστα γέγονε, ὅτι βασιλεὺς Ξέρξης πάντων δὴ μάλιστα ἀνδρῶν ἐθυμώθη ζῶντι Λεωνίδῃ: οὐ γὰρ ἄν κοτε ἐς τὸν νεκρὸν ταῦτα παρενόμησε, ἐπεὶ τιμᾶν μάλιστα νομίζουσι τῶν ἐγὼ οἶδα ἀνθρώπων Πέρσαι ἄνδρας ἀγαθοὺς τὰ πολέμια. οἳ μὲν δὴ ταῦτα ἐποίευν, τοῖσι ἐπετέτακτο ποιέειν.",7.238.2
1,159,4,"[4]
       
Ἀριστόδικον δὲ οὐκ ἀπορήσαντα πρὸς ταῦτα εἰπεῖν ‘ὦναξ, αὐτὸς μὲν οὕτω τοῖσι ἱκέτῃσι βοηθέεις, Κυμαίους δὲ κελεύεις τὸν ἱκέτην ἐκδιδόναι;’ τὸν δὲ αὖτις ἀμείψασθαι τοῖσιδε ‘ναὶ κελεύω, ἵνα γε ἀσεβήσαντες θᾶσσον ἀπόλησθε, ὡς μὴ τὸ λοιπὸν περὶ ἱκετέων ἐκδόσιος ἔλθητε ἐπὶ τὸ χρηστήριον.’",1.159.4
4,113,3,"[3]
       
ὁ δὲ νεηνίσκος, ἐπεὶ ἀπῆλθε, ἔλεξε ταῦτα πρὸς τοὺς λοιπούς: τῇ δὲ δευτεραίῃ ἦλθε ἐς τὸ χωρίον αὐτός τε οὗτος καὶ ἕτερον ἦγε, καὶ τὴν Ἀμαζόνα εὗρε δευτέρην αὐτὴν ὑπομένουσαν. οἱ δὲ λοιποὶ νεηνίσκοι ὡς ἐπύθοντο ταῦτα, καὶ αὐτοὶ ἐκτιλώσαντο τὰς λοιπὰς τῶν Ἀμαζόνων.",4.113.3
1,92,3,"[3]
       
ὁ δὲ Πανταλέων ἦν Ἀλυάττεω μὲν παῖς, Κροίσου δὲ ἀδελφεὸς οὐκ ὁμομήτριος: Κροῖσος μὲν γὰρ ἐκ Καείρης ἦν γυναικὸς Ἀλυάττῃ, Πανταλέων δὲ ἐξ Ἰάδος.",1.92.3
5,98,4,"[4]
       
ἐόντων δὲ ἤδη ἐν Χίῳ, κατὰ πόδας ἐληλύθεε Περσέων ἵππος πολλὴ διώκουσα τοὺς Παίονας. ὡς δὲ οὐ κατέλαβον, ἐπηγγέλλοντο ἐς τὴν Χίον τοῖσι Παίοσι ὅκως ἂν ὀπίσω ἀπέλθοιεν. οἱ δὲ Παίονες τοὺς λόγους οὐκ ἐνεδέκοντο, ἀλλ᾽ ἐκ Χίου μὲν Χῖοι σφέας ἐς Λέσβον ἤγαγον, Λέσβιοι δὲ ἐς Δορίσκον ἐκόμισαν, ἐνθεῦτεν δὲ πεζῇ κομιζόμενοι ἀπίκοντο ἐς Παιονίην.",5.98.4
7,17,2,"[2]
       
‘ἆρα σὺ δὴ κεῖνος εἶς ὁ ἀποσπεύδων Ξέρξην στρατεύεσθαι ἐπὶ τὴν Ἑλλάδα ὡς δὴ κηδόμενος αὐτοῦ ; ἀλλ᾽ οὔτε ἐς τὸ μετέπειτα οὔτε ἐς τὸ παραυτίκα νῦν καταπροΐξεαι ἀποτρέπων τὸ χρεὸν γενέσθαι. Ξέρξην δὲ τὰ δεῖ ἀνηκουστέοντα παθεῖν, αὐτῷ ἐκείνῳ δεδήλωται.’",7.17.2
9,51,3,"[3]
       
θυγατέρα δὲ ταύτην λέγουσι εἶναι Ἀσωποῦ οἱ ἐπιχώριοι. ἐς τοῦτον δὴ τὸν χῶρον ἐβουλεύσαντο μεταναστῆναι, ἵνα καὶ ὕδατι ἔχωσι χρᾶσθαι ἀφθόνῳ καὶ οἱ ἱππέες σφέας μὴ σινοίατο ὥσπερ κατιθὺ ἐόντων: μετακινέεσθαί τε ἐδόκεε τότε ἐπεὰν τῆς νυκτὸς ᾖ δευτέρη φυλακή, ὡς ἂν μὴ ἰδοίατο οἱ Πέρσαι ἐξορμωμένους καί σφεας ἑπόμενοι ταράσσοιεν οἱ ἱππόται.",9.51.3
1,109,3,"‘
      [3]
       
πολλῶν δὲ εἵνεκα οὐ φονεύσω μιν, καὶ ὅτι αὐτῷ μοι συγγενής ἐστὶ ὁ παῖς, καὶ ὅτι Ἀστυάγης μὲν ἐστὶ γέρων καὶ ἅπαις ἔρσενος γόνου:
’",1.109.3
2,42,6,"[6]
       
μιῇ δὲ ἡμέρῃ τοῦ ἐνιαυτοῦ, ἐν ὁρτῇ τοῦ Διός, κριὸν ἕνα κατακόψαντες καὶ ἀποδείραντες κατὰ τὠυτὸ ἐνδύουσι τὤγαλμα τοῦ Διός, καὶ ἔπειτα ἄλλο ἄγαλμα Ἡρακλέος προσάγουσι πρὸς αὐτό. ταῦτα δὲ ποιήσαντες τύπτονται οἱ περὶ τὸ ἱρὸν ἅπαντες τὸν κριὸν καὶ ἔπειτα ἐν ἱρῇ θήκῃ θάπτουσι αὐτόν.",2.42.6
8,68B,2,"‘
      [2]
       
οὐ γὰρ οἷοί τε πολλὸν χρόνον εἰσί τοι ἀντέχειν οἱ Ἕλληνες, ἀλλὰ σφέας διασκεδᾷς, κατὰ πόλις δὲ ἕκαστοι φεύξονται. οὔτε γὰρ σῖτος πάρα σφι ἐν τῇ νήσῳ ταύτῃ, ὡς ἐγὼ πυνθάνομαι, οὔτε αὐτοὺς οἰκός, ἢν σὺ ἐπὶ τὴν Πελοπόννησον ἐλαύνῃς τὸν πεζὸν στρατόν, ἀτρεμιεῖν τοὺς ἐκεῖθεν αὐτῶν ἥκοντας, οὐδέ σφι μελήσει πρὸ τῶν Ἀθηνέων ναυμαχέειν.’",8.68B.2
2,39,3,"[3]
       
καταρῶνται δὲ τάδε λέγοντες τῇσι κεφαλῇσι, εἴ τι μέλλοι ἢ σφίσι τοῖσι θύουσι ἢ Αἰγύπτῳ τῇ συναπάσῃ κακὸν γενέσθαι, ἐς κεφαλὴν ταύτην τραπέσθαι.",2.39.3
7,23,3,"[3]
       
οἱ δὲ Φοίνικες σοφίην ἔν τε τοῖσι ἄλλοισι ἔργοισι ἀποδείκνυνται καὶ δὴ καὶ ἐν ἐκείνῳ. ἀπολαχόντες γὰρ μόριον ὅσον αὐτοῖσι ἐπέβαλλε, ὤρυσσον τὸ μὲν ἄνω στόμα τῆς διώρυχος ποιεῦντες διπλήσιον ἢ ὅσον ἔδεε αὐτὴν τὴν διώρυχα γενέσθαι, προβαίνοντος δὲ τοῦ ἔργου συνῆγον αἰεί: κάτω τε δὴ ἐγίνετο καὶ ἐξισοῦτο τοῖσι ἄλλοισι τὸ ἔργον.",7.23.3
1,61,4,"[4]
       
μετὰ δέ, οὐ πολλῷ λόγῳ εἰπεῖν, χρόνος διέφυ καὶ πάντα σφι ἐξήρτυτο ἐς τὴν κάτοδον: καὶ γὰρ Ἀργεῖοι μισθωτοὶ ἀπίκοντο ἐκ Πελοποννήσου, καὶ Νάξιός σφι ἀνὴρ ἀπιγμένος ἐθελοντής, τῷ οὔνομα ἦν Λύγδαμις, προθυμίην πλείστην παρείχετο, κομίσας καὶ χρήματα καὶ ἄνδρας.",1.61.4
2,158,5,"[5]
       
τοῦτο μὲν τὸ συντομώτατον, ἡ δὲ διῶρυξ πολλῷ μακροτέρη, ὅσῳ σκολιωτέρη ἐστί: τὴν ἐπὶ Νεκῶ βασιλέος ὀρύσσοντες Αἰγυπτίων ἀπώλοντο δυώδεκα μυριάδες. Νεκῶς μέν νυν μεταξὺ ὀρύσσων ἐπαύσατο μαντηίου ἐμποδίου γενομένου τοιοῦδε, τῷ βαρβάρῳ αὐτὸν προεργάζεσθαι. βαρβάρους δὲ πάντας οἱ Αἰγύπτιοι καλέουσι τοὺς μὴ σφίσι ὁμογλώσσους.",2.158.5
9,7B,2,"‘
      [2]
       
ἐς μέν νυν τὸ παρεὸν Ἀθηναῖοι ὑμῖν μηνίουσι: οὐ γὰρ ἐποιήσατε ἐπιτηδέως. νῦν δὲ ὅτι τάχος στρατιὴν ἅμα ἡμῖν ἐκέλευσαν ὑμέας ἐκπέμπειν, ὡς ἂν τὸν βάρβαρον δεκώμεθα ἐν τῇ Ἀττικῇ: ἐπειδὴ γὰρ ἡμάρτομεν τῆς Βοιωτίης, τῆς γε ἡμετέρης ἐπιτηδεότατον ἐστὶ μαχέσασθαι τὸ Θριάσιον πεδίον.’",9.7B.2
7,53,2,"‘
      [2]
       
τῶνδε δὲ εἵνεκα προαγορεύω ἀντέχεσθαι τοῦ πολέμου ἐντεταμένως: ὡς γὰρ ἐγὼ πυνθάνομαι, ἐπ᾽ ἄνδρας στρατευόμεθα ἀγαθούς, τῶν ἢν κρατήσωμεν, οὐ μή τις ἡμῖν ἄλλος στρατὸς ἀντιστῇ κοτε ἀνθρώπων. νῦν δὲ διαβαίνωμεν ἐπευξάμενοι τοῖσι θεοῖσι οἳ Πέρσας λελόγχασι.’",7.53.2
6,119,4,"[4]
       
ἐνθαῦτα τοὺς Ἐρετριέας κατοίκισε βασιλεὺς Δαρεῖος, οἳ καὶ μέχρι ἐμέο εἶχον τὴν χώρην ταύτην, φυλάσοντες τὴν ἀρχαίην γλῶσσαν. τὰ μὲν δὴ περὶ Ἐρετριέας ἔσχε οὕτω.",6.119.4
3,120,4,"[4]
       
οἳ μὲν δή μιν φασὶ τοῦτο ἀκούσαντα καὶ ἀλγήσαντα τῷ ὀνείδεϊ ἐπιθυμῆσαι οὐκ οὕτω τὸν εἴπαντα ταῦτα τίσασθαι ὡς Πολυκράτεα πάντως ἀπολέσαι, δι᾽ ὅντινα κακῶς ἤκουσε.",3.120.4
2,162,2,"[2]
       
καὶ τῷ οὔ κως ἀεκούσιον ἐγίνετο τὸ ποιεύμενον, ὡς διεδείκνυε. ἐπείτε γὰρ ἐστήσαντό μιν βασιλέα τῶν Αἰγυπτίων οἱ ἀπεστεῶτες, παρεσκευάζετο ὡς ἐλῶν ἐπὶ τὸν Ἀπρίην.",2.162.2
7,28,2,"‘
      [2]
       
ἐπείτε γὰρ τάχιστά σε ἐπυθόμην ἐπὶ θάλασσαν καταβαίνοντα τὴν Ἑλληνίδα, βουλόμενός τοι δοῦναι ἐς τὸν πόλεμον χρήματα ἐξεμάνθανον, καὶ εὗρον λογιζόμενος ἀργυρίου μὲν δύο χιλιάδας ἐούσας μοι ταλάντων, χρυσίου δὲ τετρακοσίας μυριάδας στατήρων Δαρεικῶν ἐπιδεούσας ἑπτὰ χιλιάδων.
’",7.28.2
1,89,2,"‘
      [2]
       
Πέρσαι  φύσιν ἐόντες  ὑβρισταὶ εἰσὶ ἀχρήματοι.  ἢν ὦν σὺ τούτους περιίδῃς διαρπάσαντας καὶ κατασχόντας χρήματα μεγάλα, τάδε τοὶ ἐξ αὐτῶν ἐπίδοξα γενέσθαι. ὃς ἂν αὐτῶν πλεῖστα κατάσχῃ, τοῦτον προσδέκεσθαί τοι ἐπαναστησόμενον.   νῦν ὦν ποίησον ὧδε, εἲ τοι ἀρέσκει τὰ ἐγὼ λέγω:
’",1.89.2
8,109,2,"[2]
       
‘καὶ αὐτὸς ἤδη πολλοῖσι παρεγενόμην καὶ πολλῷ πλέω ἀκήκοα τοιάδε γενέσθαι, ἄνδρας ἐς ἀναγκαίην ἀπειληθέντας νενικημένους ἀναμάχεσθαί τε καὶ ἀναλαμβάνειν τὴν προτέρην κακότητα. ἡμεῖς δέ, εὕρημα γὰρ εὑρήκαμεν ἡμέας τε αὐτοὺς καὶ τὴν Ἑλλάδα, νέφος τοσοῦτο ἀνθρώπων ἀνωσάμενοι, μὴ διώκωμεν ἄνδρας φεύγοντας.
’",8.109.2
7,186,2,"[2]
       
καὶ δή σφεας ποιέω ἴσους ἐκείνοισι εἶναι καὶ οὔτε πλεῦνας οὔτε ἐλάσσονας οὐδέν: ἐξισούμενοι δὲ οὗτοι τῷ μαχίμῳ ἐκπληροῦσι τὰς ἴσας μυριάδας ἐκείνοισι. οὕτω πεντακοσίας τε μυριάδας καὶ εἴκοσι καὶ ὀκτὼ καὶ χιλιάδας τρεῖς καὶ ἑκατοντάδας δύο καὶ δεκάδας δύο ἀνδρῶν ἤγαγε Ξέρξης ὁ Δαρείου μέχρι Σηπιάδος καὶ Θερμοπυλέων.",7.186.2
2,161,4,"[4]
       
ἀποπέμψας γὰρ στράτευμα ὁ Ἀπρίης ἐπὶ Κυρηναίους μεγαλωστὶ προσέπταισε, Αἰγύπτιοι δὲ ταῦτα ἐπιμεμφόμενοι ἀπέστησαν ἀπ᾽ αὐτοῦ, δοκέοντες τὸν Ἀπρίην ἐκ προνοίης αὐτοὺς ἀποπέμψαι ἐς φαινόμενον κακόν, ἵνα δὴ σφέων φθορὴ γένηται, αὐτὸς δὲ τῶν λοιπῶν Αἰγυπτίων ἀσφαλέστερον ἄρχοι. ταῦτα δὲ δεινὰ ποιεύμενοι οὗτοί τε οἱ ἀπονοστήσαντες καὶ οἱ τῶν ἀπολομένων φίλοι ἀπέστησαν ἐκ τῆς ἰθέης.",2.161.4
5,41,2,"[2]
       
ἔχουσαν δὲ αὐτὴν ἀληθεῖ λόγῳ οἱ τῆς ἐπελθούσης γυναικὸς οἰκήιοι πυθόμενοι ὤχλεον, φάμενοι αὐτὴν κομπέειν ἄλλως βουλομένην ὑποβαλέσθαι. δεινὰ δὲ ποιεύντων αὐτῶν, τοῦ χρόνου συντάμνοντος, ὑπ᾽ ἀπιστίης οἱ ἔφοροι τίκτουσαν τὴν γυναῖκα περιιζόμενοι ἐφύλαξαν.",5.41.2
1,93,4,"[4]
       
τοῦ γὰρ δὴ Λυδῶν δήμου αἱ θυγατέρες πορνεύονται πᾶσαι, συλλέγουσαι σφίσι φερνάς, ἐς ὃ ἂν συνοικήσωσι τοῦτο ποιέουσαι: ἐκδιδοῦσι δὲ αὐταὶ ἑωυτάς.",1.93.4
4,119,4,"‘
      [4]
       
ἡμεῖς δὲ οὔτε τι τότε ἠδικήσαμεν τοὺς ἄνδρας τούτους οὐδὲν οὔτε νῦν πρότεροι πειρησόμεθα ἀδικέειν.  ἢν μέντοι ἐπίῃ καὶ τὴν ἡμετέρην ἄρξῃ τε ἀδικέων,  καὶ ἡμεῖς οὐ πεισόμεθα,1μέχρι δὲ τοῦτο ἴδωμεν,  μενέομεν παρ᾽ ἡμῖν αὐτοῖσι:  ἥκειν γὰρ δοκέομεν  οὐκ ἐπ᾽ ἡμέας Πέρσας ἀλλ᾽ ἐπὶ τοὺς αἰτίους τῆς  ἀδικίης γενομὲνους.’",4.119.4
2,131,2,"[2]
       
μετὰ δὲ λέγουσι ὡς ἡ παῖς ἀπήγξατο ὑπὸ ἄχεος, ὁ δέ μιν ἔθαψε ἐν τῇ βοῒ ταύτῃ, ἡ δὲ μήτηρ αὐτῆς τῶν ἀμφιπόλων τῶν προδουσέων τὴν θυγατέρα τῷ πατρὶ ἀπέταμε τὰς χεῖρας, καὶ νῦν τὰς εἰκόνας αὐτέων εἶναι πεπονθυίας τά περ αἱ ζωαὶ ἔπαθον.",2.131.2
1,120,5,"[5]
       
εἶπαν  πρὸς ταῦτα οἱ  Μάγοι ‘ὦ βασιλεῦ, καὶ αὐτοῖσι ἡμῖν περὶ πολλοῦ ἐστι κατορθοῦσθαι ἀρχὴν τὴν σήν.  κείνως μὲν γὰρ ἀλλοτριοῦται ἐς τὸν παῖδα τοῦτον περιιοῦσα ἐόντα Πέρσην, καὶ ἡμεῖς ἐόντες Μῆδοι δουλούμεθά τε καὶ λόγου οὐδενὸς γινόμεθα πρὸς Περσέων, ἐόντες ξεῖνοι: σέο δ᾽ ἐνεστεῶτος βασιλέος, ἐόντος πολιήτεω, καὶ ἄρχομεν τὸ μέρος καὶ τιμὰς πρὸς σέο μεγάλας ἔχομεν.
’",1.120.5
3,140,4,"[4]
       
ἀμείβεται πρὸς ταῦτα Δαρεῖος ‘ὦ γενναιότατε ἀνδρῶν, σὺ κεῖνος εἶς ὃς ἐμοὶ οὐδεμίαν ἔχοντί κω δύναμιν ἔδωκας εἰ καὶ σμικρά, ἀλλ᾽ ὦν ἴση γε ἡ χάρις ὁμοίως ὡς εἰ νῦν κοθέν τι μέγα λάβοιμι: ἀντ᾽ ὧν τοι χρυσὸν καὶ ἄργυρον ἄπλετον δίδωμι, ὡς μή κοτέ τοι μεταμελήσῃ Δαρεῖον τὸν Ὑστάσπεος εὖ ποιήσαντι.’ λέγει πρὸς ταῦτα ὁ Συλοσῶν",3.140.4
7,152,2,"[2]
       
ἐπίσταμαι δὲ τοσοῦτο ὅτι εἰ πάντες ἄνθρωποι τὰ οἰκήια κακὰ ἐς μέσον συνενείκαιεν ἀλλάξασθαι βουλόμενοι τοῖσι πλησίοισι, ἐγκύψαντες ἂν ἐς τὰ τῶν πέλας κακὰ ἀσπασίως ἕκαστοι αὐτῶν ἀποφεροίατο ὀπίσω τὰ ἐσενεικαίατο.",7.152.2
