name,date,county,county_state,city,city_state,state,race,denomination
Allen Chapel,1888,Putnam,"Putnam County, Florida",Ponoma,"Ponoma, Florida",Florida,African-American,African Methodist Episcopal Church
Southside Baptist Church,1934,Pinellas,"Pinellas County, Florida",St. Petersburg,"St. Petersburg, Florida",Florida,White,Southern Baptist Convention
McKinney Temple Colored Methodist Episcopal Church,1929,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Methodist
Assemblies of God,1939,Orange,"Orange County, Florida",Pine Castle,"Pine Castle, Florida",Florida,White,General Council of the Assemblies of God
Antioch Baptist Church,1903,Sumter,"Sumter County, Florida",Center Hill,"Center Hill, Florida",Florida,White,Southern Baptist Convention
Shiloh Baptist Church,1931,Columbia,"Columbia County, Florida",Lake City,"Lake City, Florida",Florida,African-American,Baptist
Oak Grove Missionary Baptist Church,1915,Bay,"Bay County, Florida",Callaway,"Callaway, Florida",Florida,African-American,Baptist
Evergreen Church,1867,Jackson,"Jackson County, Florida",Cypress,"Cypress, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Macedonia Church,1891,Baker,"Baker County, Florida",Macclenny,"Macclenny, Florida",Florida,White,Methodist
Ebenezer Baptist Church,1899,Duval,"Duval County, Florida",Chaseville,"Chaseville, Florida",Florida,African-American,Baptist
"Trinity Methodist Episcopal Church, South",1876,Alachua,"Alachua County, Florida",Rochelle,"Rochelle, Florida",Florida,White,Methodist
Church of the Living God,1905,Gadsden,"Gadsden County, Florida",Hardaway,"Hardaway, Florida",Florida,African-American,First Born Church of the Living God
Mount Pleasant African Methodist Episcopal Church,1875,St. Johns,"St. Johns County, Florida",St. Augustine,"St. Augustine, Florida",Florida,African-American,African Methodist Episcopal Church
Church of God in Christ,1918,Pinellas,"Pinellas County, Florida",St. Petersburg,"St. Petersburg, Florida",Florida,African-American,Church of God in Christ
Church of Christ,1930,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Church of Christ
St. James A.M.E. Church,1937,Seminole,"Seminole County, Florida",Jamestown Community,"Jamestown Community, Florida",Florida,African-American,African Methodist Episcopal
Griffin Baptist Church,1904,Polk,"Polk County, Florida",Lakeland,"Lakeland, Florida",Florida,White,Southern Baptist Convention
St. John's Episcopal Mission,1879,Osceola,"Osceola County, Florida",Kissimmee,"Kissimmee, Florida",Florida,White,Episcopal
Campbellton Methodist Church,1895,Jackson,"Jackson County, Florida",Campbellton,"Campbellton, Florida",Florida,White,Southern Methodist
St. Paul Methodist Episcopal Church,1888,Volusia,"Volusia County, Florida",New Smyrna,"New Smyrna, Florida",Florida,African-American,African Methodist Episcopal
Saint Margaret's Catholic Church,1931,Walton,"Walton County, Florida",DeFuniak Springs,"DeFuniak Springs, Florida",Florida,White,Roman Catholic
First Assembly of God,1921,Escambia,"Escambia County, Florida",Pensacola,"Pensacola, Florida",Florida,White,General Council of The Assemblies of God
Piney Grove Free Will Baptist Church,1935,Volusia,"Volusia County, Florida",Bakersburg,"Bakersburg, Florida",Florida,African-American,National Baptist Convention of America Inc.
Switzerland Baptist Church,1892,St. Johns,"St. Johns County, Florida",Switzerland,"Switzerland, Florida",Florida,White,Southern Baptist Convention
"Portland Methodist Episcopal Church, South",1925,Dade,"Dade County, Florida",Miami,"Miami, Florida",Florida,White,Methodist
Macedonia African Methodist Episcopal Church,1870,Nassau,"Nassau County, Florida",Fernandina,"Fernandina, Florida",Florida,African-American,African Methodist Episcopal Church
Santa Rosa Presbyterian Church,1920,Santa Rosa,"Santa Rosa County, Florida",Milton,"Milton, Florida",Florida,White,Presbyterian
Church of the Good Shepherd,1889,Pinellas,"Pinellas County, Florida",Dunedin,"Dunedin, Florida",Florida,White,Presbyterian Church of the United States
Sherman Chapel,1914,Bay,"Bay County, Florida",Fountain,"Fountain, Florida",Florida,African-American,Methodist
Providence Baptist Church,1921,Manatee,"Manatee County, Florida",Palmetto,"Palmetto, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Saint Margaret Mary Catholic Church,1915,Orange,"Orange County, Florida",Winter Park,"Winter Park, Florida",Florida,White,Catholic
"Elizabeth Holiness Church, House of God Saints of Christ",1938,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Holiness
Center Hill Baptist Church,1884,Sumter,"Sumter County, Florida",Center Hill,"Center Hill, Florida",Florida,White,Southern Baptist Convention
Temple Baptist Church,1931,Dade,"Dade County, Florida",Miami,"Miami, Florida",Florida,White,Baptist
Saint Luke Baptist Church,1900,Gilchrist,"Gilchrist County, Florida",Williford,"Williford, Florida",Florida,African-American,Baptist
Church of God in Christ,1921,Palm Beach,"Palm Beach County, Florida",West Palm Beach,"West Palm Beach, Florida",Florida,African-American,Church of God in Christ
Saint John The Baptist Catholic,1904,Marion,"Marion County, Florida",Dunnellon,"Dunnellon, Florida",Florida,White,Roman Catholic
Mount Pilgrim Primitive Baptist Church,1911,Manatee,"Manatee County, Florida",Bradenton,"Bradenton, Florida",Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
"Bethlehem Methodist Episcopal Church, South",1917,Suwannee,"Suwannee County, Florida",Wellborn,"Wellborn, Florida",Florida,White,"Methodist Episcopal Church, South"
Saint John's Baptist Church,1881,Lake,"Lake County, Florida",Yalaha,"Yalaha, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
New Shiloh Baptist Church,1905,Alachua,"Alachua County, Florida",LaCrosse,"LaCrosse, Florida",Florida,White,Baptist
Parkview Baptist Church,1920,St. Lucie,"St. Lucie County, Florida",Ft. Pierce,"Ft. Pierce, Florida",Florida,White,Southern Baptist Convention
The Church of God by Faith,1930,Levy,"Levy County, Florida",Williston,"Williston, Florida",Florida,African-American,Churches of God
Sanctified Church,1914,Leon,"Leon County, Florida",Tallahassee,"Tallahassee, Florida",Florida,African-American,Church of God in Christ
Church of God,1922,Dade,"Dade County, Florida",Miami,"Miami, Florida",Florida,African-American,Church of God
Mandeville Baptist Church,1914,Duval,"Duval County, Florida",Nean Otis,"Nean Otis, Florida",Florida,White,Baptist
St. Matthew Missionary Baptist Church,1926,Hillsborough,"Hillsborough County, Florida",Sulphur Springs,"Sulphur Springs, Florida",Florida,African-American,Baptist
Community Temple of Hialeah,1922,Dade,"Dade County, Florida",Hialeah,"Hialeah, Florida",Florida,White,Methodist
Bethlehem Church,1916,Calhoun,"Calhoun County, Florida",Altha,"Altha, Florida",Florida,White,Baptist
First Baptist Church,1914,Nassau,"Nassau County, Florida",Hilliard,"Hilliard, Florida",Florida,White,Southern Baptist Convention
Tabernacle Baptist Church,1931,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,White,Baptist
Liberty Baptist Church,1905,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,White,Baptist
Ochwilla Baptist Church,1873,Putnam,"Putnam County, Florida",Hawthorne,"Hawthorne, Florida",Florida,White,Southern Baptist Convention
Galilee Baptist Church of Hawthorne,1885,Alachua,"Alachua County, Florida",Hawthorne,"Hawthorne, Florida",Florida,White,Baptist
Paxton Baptist Church,1906,Walton,"Walton County, Florida",Paxton,"Paxton, Florida",Florida,White,Southern Baptist Convention
New Pearce Presbyterian Church,1915,Manatee,"Manatee County, Florida",New Pearce,"New Pearce, Florida",Florida,White,Presbyterian Church of the United States
Mount Olive Baptist Church,1880,St. Johns,"St. Johns County, Florida",St. Augustine,"St. Augustine, Florida",Florida,White,Southern Baptist Convention
Saint Paul's Protestant Episcopal Mission,1880,Alachua,"Alachua County, Florida",Waldo,"Waldo, Florida",Florida,White,Episcopal
Woodstock Park Methodist Episcopal Church,1927,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,White,Methodist
Baptist Church of New River,1833,Bradford,"Bradford County, Florida",New River,"New River, Florida",Florida,White,Baptist
New Bethel Baptist Church,1912,Bradford,"Bradford County, Florida",Starke,"Starke, Florida",Florida,African-American,Baptist
Church of Christ,1937,Hillsborough,"Hillsborough County, Florida",Dover,"Dover, Florida",Florida,White,Churches of Christ
New Chapel,1920,Madison,"Madison County, Florida",Lee,"Lee, Florida",Florida,African-American,African Methodist Episcopal Church
New Hope Baptist Church,1876,Levy,"Levy County, Florida",Williston,"Williston, Florida",Florida,African-American,Baptist
Trinity Mission,1913,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,White,Episcopal
Beluah Baptist Church,1843,Wakulla,"Wakulla County, Florida",Crawfordville,"Crawfordville, Florida",Florida,White,Primitive Baptist Church
Mount Pleasant Baptist Church,1903,Alachua,"Alachua County, Florida",Archer,"Archer, Florida",Florida,White,Baptist
Church of Christ,1923,Marion,"Marion County, Florida",Sparr,"Sparr, Florida",Florida,White,Church of Christ
Pleasant Heights Baptist Church,1923,Palm Beach,"Palm Beach County, Florida",Riviera,"Riviera, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Saint Matthews Baptist Church,1907,Leon,"Leon County, Florida",Tallahassee,"Tallahassee, Florida",Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Church of God,1909,Pinellas,"Pinellas County, Florida",Largo,"Largo, Florida",Florida,White,Church of God
Union Baptist Church,1902,Suwannee,"Suwannee County, Florida",O'Brien,"O'Brien, Florida",Florida,White,Southern Baptist Convention
Orange Heights Methodist Church,1926,Polk,"Polk County, Florida",Lakeland,"Lakeland, Florida",Florida,White,The Methodist Church
Holy Family Roman Catholic Church,1920,Franklin,"Franklin County, Florida",Apalachicola,"Apalachicola, Florida",Florida,White,Catholic
Shiloh Methodist Church,1905,Calhoun,"Calhoun County, Florida",Blountstown,"Blountstown, Florida",Florida,White,Methodist
Ebenezer Missionary Baptist Church,1892,Hernando,"Hernando County, Florida",Brooksville,"Brooksville, Florida",Florida,African-American,Baptist
Melbourne Beach Community Chapel,1890,Brevard,"Brevard County, Florida",Melbourne,"Melbourne, Florida",Florida,White,Interdenominational
Mt. Ararat Baptist Church,1918,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Baptist
Munson Baptist Church,1933,Santa Rosa,"Santa Rosa County, Florida",Munson,"Munson, Florida",Florida,White,American Baptist Assembly
United Brethren Church,1895,Osceola,"Osceola County, Florida",Boggy Creek,"Boggy Creek, Florida",Florida,White,United Brethren in Christ
Liberal Catholic Church,1938,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,White,Catholic
New Hope Primitive Baptist Church,1852,Alachua,"Alachua County, Florida",LaCrosse,"LaCrosse, Florida",Florida,White,Baptist
Fountain Baptist Church,1920,Bay,"Bay County, Florida",Fountain,"Fountain, Florida",Florida,White,Baptist
African Methodist Episcopal Church of Chumuckla,1916,Santa Rosa,"Santa Rosa County, Florida",Chumuckla,"Chumuckla, Florida",Florida,African-American,African Methodist Episcopal
Various County Church Histories,1939,Various,"Various County, Florida",null,"null, Florida",Florida,null,null
Mount Pisgah African Methodist Episcopal Church,1889,Putnam,"Putnam County, Florida",Federal Point,"Federal Point, Florida",Florida,African-American,African Methodist Episcopal Church
Goodwill Missionary Baptist Church,1937,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Baptist
Palm Harbor Methodist Church,1912,Pinellas,"Pinellas County, Florida",Palm Harbor,"Palm Harbor, Florida",Florida,White,"Methodist Episcopal Church, South"
The First Baptist Church,1921,Highlands,"Highlands County, Florida",Sebring,"Sebring, Florida",Florida,White,Southern Baptist Convention
Saint Mary's Episcopal Church,1886,Volusia,"Volusia County, Florida",Daytona Beach,"Daytona Beach, Florida",Florida,White,Protestant Episcopal Church
Saint John's Missionary Baptist Church,1920,Pinellas,"Pinellas County, Florida",St. Petersburg,"St. Petersburg, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
New Zion Baptist Church,1925,Brevard,"Brevard County, Florida",Micco,"Micco, Florida",Florida,African-American,Baptist
Church of God,1921,Putnam,"Putnam County, Florida",Florahome,"Florahome, Florida",Florida,White,Church of God
Greenville Methodist Church,1877,Madison,"Madison County, Florida",Greenville,"Greenville, Florida",Florida,White,"Methodist Episcopal Church, South"
Christian Science Reading Room,1933,Dade,"Dade County, Florida",Miami Beach,"Miami Beach, Florida",Florida,White,"Church of Christ, Scientist"
Salem Church of God,1923,Suwannee,"Suwannee County, Florida",Live Oak,"Live Oak, Florida",Florida,White,Church of God
Palm-View Church,1936,Manatee,"Manatee County, Florida",Palmetto,"Palmetto, Florida",Florida,White,Church of The Nazarene
McCrabb Baptist Church,1881,Dixie,"Dixie County, Florida",Branford Road,"Branford Road, Florida",Florida,White,Baptist
Lee Methodist Church,1882,Madison,"Madison County, Florida",Lee,"Lee, Florida",Florida,White,"Methodist Episcopal Church, South"
Bethel Baptist Church,1915,Marion,"Marion County, Florida",Summerfield,"Summerfield, Florida",Florida,White,Southern Baptist Convention
Assemblies of God Church,1932,Nassau,"Nassau County, Florida",Hilliard,"Hilliard, Florida",Florida,White,General Council of The Assemblies of God
Wrightsville Methodist Episcopal Church,1874,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Methodist
St. Joseph Methodist Church,1907,Volusia,"Volusia County, Florida",DeLand,"DeLand, Florida",Florida,African-American,African Methodist Episcopal
Bethany Baptist Church,1888,Manatee,"Manatee County, Florida",Myakka City,"Myakka City, Florida",Florida,White,Southern Baptist Convention
African Methodist Episcopal Church,1926,St. Lucie,"St. Lucie County, Florida",Ft. Pierce,"Ft. Pierce, Florida",Florida,African-American,African Methodist Episcopal
First Methodist Church,1914,Calhoun,"Calhoun County, Florida",Blountstown,"Blountstown, Florida",Florida,White,Methodist
Church of God,1934,Hillsborough,"Hillsborough County, Florida",Lake Thonotosassa,"Lake Thonotosassa, Florida",Florida,White,Church of God
Rock Anna Church,1928,Jefferson,"Jefferson County, Florida",Monticello,"Monticello, Florida",Florida,African-American,African Methodist Episcopal Church
Pentecostal Mission,1935,Martin,"Martin County, Florida",Salerno,"Salerno, Florida",Florida,White,Pentecostal Holiness Church
Tustenuggee Methodist Church,1845,Columbia,"Columbia County, Florida",Fort White,"Fort White, Florida",Florida,White,Methodist
Stewart Memorial Methodist Church,1893,Volusia,"Volusia County, Florida",Daytona Beach,"Daytona Beach, Florida",Florida,African-American,African Methodist Episcopal
Enterprise Presbyterian Church,1850,Volusia,"Volusia County, Florida",Enterprise,"Enterprise, Florida",Florida,White,Presbyterian Church of the United States
Beth-el Temple,1878,Escambia,"Escambia County, Florida",Pensacola,"Pensacola, Florida",Florida,Jewish,Jewish Congregations
First Baptist Church of Pinellas Park,1933,Pinellas,"Pinellas County, Florida",Pinellas Park,"Pinellas Park, Florida",Florida,White,Southern Baptist Convention
The Vestry od Trinity Church of St. Augustine,1763,St. Johns,"St. Johns County, Florida",St. Augustine,"St. Augustine, Florida",Florida,White,Protestant Episcopal Church
Philadelphia Baptist Church,1890,Bradford,"Bradford County, Florida",Lawtey,"Lawtey, Florida",Florida,African-American,Baptist
Clark Memorial Baptist Church,1903,Hillsborough,"Hillsborough County, Florida",Tampa,"Tampa, Florida",Florida,White,Baptist
Saint Paul's African Methodist Episcopal Church,1912,Martin,"Martin County, Florida",Stuart,"Stuart, Florida",Florida,African-American,African Methodist Episcopal Church
I Am Activities,1935,Dade,"Dade County, Florida",Miami,"Miami, Florida",Florida,White,Nondenominational
First Free Will Baptist Church of Blountstown,1905,Calhoun,"Calhoun County, Florida",Blountstown,"Blountstown, Florida",Florida,White,Baptist
Beach Methodist Church,1937,Duval,"Duval County, Florida",Jacksonville Beach,"Jacksonville Beach, Florida",Florida,White,Methodist
Kirsey Methodist Church,1876,Leon,"Leon County, Florida",Tallahassee,"Tallahassee, Florida",Florida,African-American,African Methodist Episcopal Church
All Saints Episcopal Church,1895,Martin,"Martin County, Florida",Jensen,"Jensen, Florida",Florida,White,Protestant Episcopal
Pleasant Grove African Methodist Episcopal Church,1877,Putnam,"Putnam County, Florida",Georgetown,"Georgetown, Florida",Florida,African-American,African Methodist Episcopal Church
Saint Thomas Baptist Church,1890,Alachua,"Alachua County, Florida",Archer,"Archer, Florida",Florida,African-American,Baptist
Saint Timothy's Protestant Episcopal Mission,1894,Volusia,"Volusia County, Florida",Orange City,"Orange City, Florida",Florida,White,Protestant Episcopal Church
First Baptist Church of Williston,1858,Levy,"Levy County, Florida",Williston,"Williston, Florida",Florida,White,Baptist
Shiloh Baptist Church,1934,Polk,"Polk County, Florida",Lake Wales,"Lake Wales, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Euchie Valley Presbyterian Church,1828,Walton,"Walton County, Florida",DeFuniak Springs,"DeFuniak Springs, Florida",Florida,White,Presbyterian Church of the United States
Ward's Chapel Institutional African Methodist Episcopal Church,1924,Duval,"Duval County, Florida",Jacksonville,"Jacksonville, Florida",Florida,African-American,Methodist
First Methodist Church,1907,Bay,"Bay County, Florida",Panama City,"Panama City, Florida",Florida,White,Methodist
First Christian Church,1920,Lake,"Lake County, Florida",Leesburg,"Leesburg, Florida",Florida,White,Disciples of Christ
Mount Zion Methodist Church,1875,Madison,"Madison County, Florida",Cherry Lake,"Cherry Lake, Florida",Florida,African-American,African Methodist Episcopal Church
Pine Ridge Church,1936,Jackson,"Jackson County, Florida",Marianna,"Marianna, Florida",Florida,White,Southern Baptist Convention
Mount Zion Baptist Church,1912,Alachua,"Alachua County, Florida",Jonesville Section,"Jonesville Section, Florida",Florida,White,Baptist
The Church of God,1915,Manatee,"Manatee County, Florida",Manatee,"Manatee, Florida",Florida,White,Church of God
Mandarin Methodist Church,1859,Duval,"Duval County, Florida",Mandarin,"Mandarin, Florida",Florida,White,Methodist
Shiloh Missionary Baptist Church,1929,St. Johns,"St. Johns County, Florida",St. Augustine,"St. Augustine, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Mt. Calvary Missionary Baptist Church,1939,Hillsborough,"Hillsborough County, Florida",Tampa,"Tampa, Florida",Florida,African-American,Baptist
Siloam Baptist Church,1886,Marion,"Marion County, Florida",Morriston,"Morriston, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Friendship Church,1929,Leon,"Leon County, Florida",Tallahassee,"Tallahassee, Florida",Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Bryceville Baptist Church,1935,Nassau,"Nassau County, Florida",Bryceville,"Bryceville, Florida",Florida,White,Southern Baptist Convention
New Hope Church,1875,Leon,"Leon County, Florida",Tallahassee,"Tallahassee, Florida",Florida,White,Christian Methodist Episcopal Church
Bowman Methodist Church,1890,Hillsborough,"Hillsborough County, Florida",Tampa,"Tampa, Florida",Florida,African-American,Methodist
Ross Creek Presbyterian Church,1919,Columbia,"Columbia County, Florida",Lake City,"Lake City, Florida",Florida,White,Presbyterian
Bethel Baptist Church,1930,Escambia,"Escambia County, Florida",Barrineau Park,"Barrineau Park, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
New Bethel Baptist Church,1936,Suwannee,"Suwannee County, Florida",O'Brien,"O'Brien, Florida",Florida,African-American,National Baptist Convention of the United States of America Inc.
Shiloh Holiness Church,1931,Suwannee,"Suwannee County, Florida",Live Oak,"Live Oak, Florida",Florida,African-American,Pentecostal Holiness
Canoe Bapist Church,1889,Okaloosa,"Okaloosa County, Florida",Holt,"Holt, Florida",Florida,White,Southern Baptist Convention
"Orange, Lake, Seminole, St. Johns and Osceola County Corporation Mortgages",1939,"Orange, Lake, Seminole, St. Johns and Osceola","Orange, Lake, Seminole, St. Johns and Osceola County, Florida",null,"null, Florida",Florida,null,null
